Mathematica;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;0;0,999922;5,26735E-05;0,997875;-2,26E-06;-102,859;-194,343;;;;0;0,999922;5,27028E-05;0,614904;-0,101193;-165,651;-21985,5;;;;0;0,9999223;0,0000527;0,997528127;-3,08232E-06;-102,859;-194,343;;;;0;0,9999223;0,0000527;0,6147608;-0,101282843;-165,651;-21985,5
;;1;0,999895;7,09423E-05;0,997149;-4,07E-06;-,103;-194,348;;;;1;0,999913;5,40096E-05;0,6146;-0,101383;-165,684;-21495,3;;;;1;0,999895251;7,09794E-05;0,997528127;-3,08232E-06;-103,0596228;-194,347075;;;;1;0,999913371;5,4007E-05;0,6147608;-0,101282843;-165,6838834;-21495,27402
;;2;0,999859;9,54763E-05;0,996178;-7,32E-06;-,103;-194,352;;;;2;0,999904;5,53397E-05;0,614298;-0,101573;-165,717;-21019,6;;;;2;0,999858896;9,55266E-05;0,996684877;-5,54676E-06;-103,259795;-194,3517825;;;;2;0,999904231;5,53372E-05;0,614458103;-0,101472646;-165,7164899;-21019,44626
;;3;0,99981;0,000128366;0,994886;-1,31E-05;-,103;-194,358;;;;3;0,999895;0,000056693;0,613996;-0,101763;-165,749;-20557,8;;;;3;0,999810106;0,000128433;0,995560387;-9,955E-06;-103,4592324;-194,3572188;;;;3;0,999894876;5,66908E-05;0,614156089;-0,101662265;-165,7488196;-20557,5297
;;4;0,999745;0,000172355;0,993172;-0,000023418;-103,658;-194,364;;;;4;0,999885;5,80699E-05;0,613696;-0,101952;-165,781;-20109,4;;;;4;0,999744756;0,000172444;0,994065939;-1,78006E-05;-103,6575594;-194,363494;;;;4;0,999885302;5,80679E-05;0,613854821;-0,101851658;-165,7808725;-20109,05419
;;5;0,999657;0,000231007;0,99091;-4,16E-05;-103,855;-194,372;;;;5;0,999875;5,94704E-05;0,613395;-0,102141;-165,813;-19674;;;;5;0,999657447;0,000231126;0,992088465;-3,16797E-05;-103,8542841;-194,3707323;;;;5;0,999875506;5,94687E-05;0,613554306;-0,102040817;-165,8126487;-19673,57272
;;6;0,999541;0,0003089;0,987943;-7,33E-05;-104,049;-,194;;;;6;0,999865;6,08946E-05;0,613096;-0,10233;-165,844;-19251,2;;;;6;0,999541191;0,000309058;0,989486947;-5,60287E-05;-104,0487677;-194,3790726;;;;6;0,999865484;6,08932E-05;0,613254548;-0,102229737;-165,8441482;-19250,65336
;;7;0,999387;0,000411811;0,984085;-0,000128005;-104,241;-,194;;;;7;0,999855;6,23428E-05;0,612797;-0,102518;-165,875;-18840,5;;;;7;0,999387064;0,000412017;0,986089919;-9,82916E-05;-104,2401906;-194,3886675;;;;7;0,999855234;6,23416E-05;0,61295556;-0,102418411;-165,8753711;-18839,88013
;;8;0,999184;0,000546869;0,979122;-0,000221033;-104,428;-194,401;;;;8;0,999845;6,38149E-05;0,6125;-0,102707;-165,906;-18441,5;;;;8;0,999183863;0,000547137;0,981696343;-0,00017065;-104,4275175;-194,3996804;;;;8;0,999844751;6,3814E-05;0,612657353;-0,10260683;-165,9063175;-18440,85233
;;9;0,998918;0,000722627;0,972822;-0,000376166;-,105;-194,414;;;;9;0,999834;6,53112E-05;0,612203;-0,102895;-165,937;-18053,9;;;;9;0,998917846;0,000722973;0,97608206;-0,000292416;-104,6094664;-194,4122792;;;;9;0,999834031;6,53105E-05;0,612359937;-0,102794984;-165,9369875;-18053,184
;;10;0,998573;0,000948966;0,964954;-0,000628833;-104,785;-194,428;;;;10;0,999823;6,68316E-05;0,611906;-0,103082;-165,967;-17677,3;;;;10;0,998572624;0,000949405;0,969014259;-0,000492959;-104,7844886;-194,426627;;;;10;0,999823072;6,68313E-05;0,612063324;-0,102982865;-165,9673813;-17676,50276
;;11;0,99813;0,00123675;0,955322;-0,00102884;-104,951;-194,445;;;;11;0,999812;6,83764E-05;0,611611;-0,10327;-165,998;-17311,3;;;;11;0,998129338;0,001237297;0,960275859;-0,000814735;-104,95077;-194,4428665;;;;11;0,999811869;6,83764E-05;0,611767531;-0,103170461;-165,9974989;-17310,4501
;;12;0,997568;0,00159715;0,943793;-0,00164144;-105,107;-194,463;;;;12;0,9998;6,99456E-05;0,611316;-0,103457;-166,027;-16955,6;;;;12;0,997567224;0,001597832;0,949699042;-0,001315323;-105,1062637;-194,4611009;;;;12;0,99980042;6,99459E-05;0,611472565;-0,103357765;-166,0273406;-16954,6813
;;13;0,996866;0,0020407;0,930342;-0,00254505;-105,249;-194,484;;;;13;0,999789;7,15392E-05;0,611023;-0,103644;-166,057;-16609,9;;;;13;0,99686461;0,002041538;0,937202976;-0,002066952;-105,2487609;-194,4813719;;;;13;0,99978872;7,15399E-05;0,611178431;-0,103544772;-166,0569065;-16608,86339
;;14;0,996002;0,00257607;0,915075;-0,00382428;-105,377;-194,507;;;;14;0,999777;7,31574E-05;0,61073;-0,10383;-166,086;-16273,7;;;;14;0,996000301;0,00257708;0,922826609;-0,003151933;-105,3759988;-194,5036395;;;;14;0,999776766;7,31585E-05;0,610885145;-0,103731471;-166,0861968;-16272,67541
;;15;0,994957;0,00320884;0,898234;-0,00555863;-105,486;-194,531;;;;15;0,999764;7,48003E-05;0,610438;-0,104017;-166,115;-15946,9;;;;15;0,994955158;0,003210036;0,906745015;-0,004653393;-105,4857956;-194,5277676;;;;15;0,999764555;7,48017E-05;0,610592717;-0,103917853;-166,1152116;-15945,80799
;;16;0,993716;0,00394052;0,880178;-0,0078091;-105,577;-194,558;;;;16;0,999752;7,64678E-05;0,610147;-0,104203;-166,144;-15629,1;;;;16;0,9937136;0,00394191;0,889261465;-0,006642639;-105,57619;-194,553522;;;;16;0,999752082;7,64696E-05;0,610301158;-0,10410391;-166,1439513;-15627,96285
;;17;0,992267;0,00476806;0,861337;-0,0106065;-105,646;-194,585;;;;17;0,999739;0,00007816;0,609857;-0,104388;-166,172;-15320,1;;;;17;0,992264725;0,004769637;0,870774304;-0,009166296;-105,6455627;-194,5805817;;;;17;0,999739345;7,81623E-05;0,610010478;-0,104289632;-166,1724159;-15318,85234
;;18;0,990606;0,00568392;0,84216;-0,0139453;-105,693;-194,614;;;;18;0,999726;7,98771E-05;0,609567;-0,104573;-166,201;-15019,5;;;;18;0,990602875;0,00568567;0,851728285;-0,01223715;-105,6927185;-194,608561;;;;18;0,999726339;7,98798E-05;0,60972069;-0,104475011;-166,2006058;-15018,19905
;;19;0,988731;0,00667671;0,823069;-0,0177842;-105,718;-194,643;;;;19;0,999713;8,16189E-05;0,609279;-0,104758;-166,228;-14727,1;;;;19;0,988727596;0,006678621;0,832562873;-0,015831339;-105,7169209;-194,6370398;;;;19;0,999713061;8,1622E-05;0,609431803;-0,104660039;-166,2285213;-14725,73539
;;20;0,986647;0,00773222;0,804424;-0,0220527;-105,719;-194,673;;;;20;0,999699;8,33856E-05;0,608991;-0,104943;-166,256;-14442,6;;;;20;0,986643105;0,007734274;0,813670511;-0,019892175;-105,7178812;-194,6655927;;;;20;0,999699508;8,33892E-05;0,609143829;-0,104844705;-166,2561625;-14441,20326
;;21;0,984362;0,00883456;0,786505;-0,0266613;-105,697;-194,702;;;;21;0,999686;8,51772E-05;0,608705;-0,105127;-166,283;-14165,8;;;;21;0,984357446;0,008836749;0,795370994;-0,02433876;-105,6957132;-194,6938151;;;;21;0,999685675;8,51813E-05;0,608856778;-0,105029002;-166,2835298;-14164,35362
;;22;0,981886;0,0099673;0,769507;-0,0315122;-105,652;-194,731;;;;22;0,999671;8,69936E-05;0,608419;-0,10531;-166,311;-13896,4;;;;22;0,98188153;0,009969617;0,777902344;-0,02907652;-105,6508686;-194,7213408;;;;22;0,99967156;8,69982E-05;0,608570661;-0,10521292;-166,3106235;-13894,94617
;;23;0,979233;0,0111144;0,753556;-0,036508;-105,585;-194,759;;;;23;0,999657;8,88349E-05;0,608134;-0,105494;-166,337;-13634,2;;;;23;0,979228206;0,011116844;0,761424024;-0,034007192;-105,5840635;-194,7478525;;;;23;0,999657158;8,884E-05;0,608285488;-0,105396451;-166,3374438;-13632,74902
;;24;0,976417;0,0122609;0,738713;-0,0415587;-105,497;-194,786;;;;24;0,999642;9,07011E-05;0,607851;-0,105677;-166,364;-13379,1;;;;24;0,976411443;0,012263491;0,746027805;-0,039036677;-105,4962088;-194,7730847;;;;24;0,999642467;9,07068E-05;0,608001272;-0,105579586;-166,3639912;-13377,53837
;;25;0,973452;0,0133935;0,724995;-0,0465854;-105,389;-194,812;;;;25;0,999627;9,25921E-05;0,607568;-0,105859;-,166;-13130,6;;;;25;0,973445689;0,013396172;0,731752191;-0,044080185;-105,3883478;-194,7968218;;;;25;0,999627483;9,25984E-05;0,607718021;-0,105762316;-166,3902659;-13129,09821
;;26;0,970352;0,0145004;0,712384;-0,0515221;-105,262;-194,836;;;;26;0,999612;0,000094508;0,607286;-0,106041;-166,416;-12888,8;;;;26;0,970345361;0,014503312;0,718594815;-0,049065297;-105,2616036;-194,8188928;;;;26;0,999612201;9,45148E-05;0,607435746;-0,105944632;-166,4162684;-12887,21997
;;27;0,967132;0,0155722;0,700839;-0,056316;-105,118;-194,859;;;;27;0,999597;9,64487E-05;0,607005;-0,106223;-166,442;-12653,3;;;;27;0,967124506;0,01557523;0,706526012;-0,053932447;-105,1171385;-194,8391643;;;;27;0,999596619;9,64562E-05;0,607154459;-0,106126525;-166,4419989;-12651,70234
;;28;0,963805;0,0166008;0,690306;-0,0609265;-104,957;-194,881;;;;28;0,999581;9,84142E-05;0,606725;-0,106404;-166,467;-12424;;;;28;0,963796555;0,016604107;0,695497052;-0,058635144;-104,9561217;-194,8575321;;;;28;0,999580734;9,84223E-05;0,606874169;-0,106307987;-166,467458;-12422,35088
;;29;0,960383;0,0175803;0,68072;-0,065324;-104,781;-194,901;;;;29;0,999564;0,000100404;0,606447;-0,106585;-166,493;-12200,6;;;;29;0,960374178;0,017583871;0,685448384;-0,063138617;-104,7797055;-194,8739138;;;;29;0,999564541;0,000100413;0,606594887;-0,106489008;-166,4926459;-12198,97785
;;30;0,956879;0,0185061;0,672018;-0,0694883;-,105;-194,919;;;;30;0,999548;0,000102419;0,606169;-0,106766;-166,517;-11983,1;;;;30;0,956869221;0,018510034;0,676316084;-0,067417706;-104,5890108;-194,8882409;;;;30;0,999548037;0,000102429;0,606316623;-0,106669581;-166,5175631;-11981,40191
;;31;0,953303;0,0193752;0,664131;-0,0734066;-104,386;-194,936;;;;31;0,999531;0,000104459;0,605892;-0,106945;-166,542;-11771,2;;;;31;0,953292659;0,019379512;0,668033765;-0,071456116;-104,3851148;-194,9004522;;;;31;0,999531219;0,000104469;0,606039387;-0,106849695;-166,5422101;-11769,44792
