Laissez-faire;t;Ns;Ni;a_t;;Optimal-policy;t;Ns;Ni;a_t
;0;0,999922;5,26735E-05;0,997875;;;0;0,999922;5,27028E-05;0,614904
;1;0,999895;7,09423E-05;0,997149;;;1;0,999913;5,40096E-05;0,6146
;2;0,999859;9,54763E-05;0,996178;;;2;0,999904;5,53397E-05;0,614298
;3;0,99981;0,000128366;0,994886;;;3;0,999895;0,000056693;0,613996
;4;0,999745;0,000172355;0,993172;;;4;0,999885;5,80699E-05;0,613696
;5;0,999657;0,000231007;0,99091;;;5;0,999875;5,94704E-05;0,613395
;6;0,999541;0,0003089;0,987943;;;6;0,999865;6,08946E-05;0,613096
;7;0,999387;0,000411811;0,984085;;;7;0,999855;6,23428E-05;0,612797
;8;0,999184;0,000546869;0,979122;;;8;0,999845;6,38149E-05;0,6125
;9;0,998918;0,000722627;0,972822;;;9;0,999834;6,53112E-05;0,612203
;10;0,998573;0,000948966;0,964954;;;10;0,999823;6,68316E-05;0,611906
;11;0,99813;0,00123675;0,955322;;;11;0,999812;6,83764E-05;0,611611
;12;0,997568;0,00159715;0,943793;;;12;0,9998;6,99456E-05;0,611316
;13;0,996866;0,0020407;0,930342;;;13;0,999789;7,15392E-05;0,611023
;14;0,996002;0,00257607;0,915075;;;14;0,999777;7,31574E-05;0,61073
;15;0,994957;0,00320884;0,898234;;;15;0,999764;7,48003E-05;0,610438
;16;0,993716;0,00394052;0,880178;;;16;0,999752;7,64678E-05;0,610147
;17;0,992267;0,00476806;0,861337;;;17;0,999739;0,00007816;0,609857
;18;0,990606;0,00568392;0,84216;;;18;0,999726;7,98771E-05;0,609567
;19;0,988731;0,00667671;0,823069;;;19;0,999713;8,16189E-05;0,609279
;20;0,986647;0,00773222;0,804424;;;20;0,999699;8,33856E-05;0,608991
;21;0,984362;0,00883456;0,786505;;;21;0,999686;8,51772E-05;0,608705
;22;0,981886;0,0099673;0,769507;;;22;0,999671;8,69936E-05;0,608419
;23;0,979233;0,0111144;0,753556;;;23;0,999657;8,88349E-05;0,608134
;24;0,976417;0,0122609;0,738713;;;24;0,999642;9,07011E-05;0,607851
;25;0,973452;0,0133935;0,724995;;;25;0,999627;9,25921E-05;0,607568
;26;0,970352;0,0145004;0,712384;;;26;0,999612;0,000094508;0,607286
;27;0,967132;0,0155722;0,700839;;;27;0,999597;9,64487E-05;0,607005
;28;0,963805;0,0166008;0,690306;;;28;0,999581;9,84142E-05;0,606725
;29;0,960383;0,0175803;0,68072;;;29;0,999564;0,000100404;0,606447
;30;0,956879;0,0185061;0,672018;;;30;0,999548;0,000102419;0,606169
;31;0,953303;0,0193752;0,664131;;;31;0,999531;0,000104459;0,605892
;32;0,949667;0,0201856;0,656997;;;32;0,999514;0,000106523;0,605616
;33;0,945978;0,0209365;0,650553;;;33;0,999497;0,000108611;0,605342
;34;0,942245;0,0216279;0,644742;;;34;0,999479;0,000110724;0,605068
;35;0,938477;0,0222606;0,639511;;;35;0,999461;0,000112861;0,604796
;36;0,93468;0,0228357;0,634809;;;36;0,999442;0,000115022;0,604524
;37;0,930861;0,023355;0,630592;;;37;0,999423;0,000117208;0,604254
;38;0,927025;0,0238205;0,626818;;;38;0,999404;0,000119417;0,603985
;39;0,923178;0,0242345;0,623449;;;39;0,999385;0,00012165;0,603717
;40;0,919324;0,0245994;0,620451;;;40;0,999365;0,000123907;0,60345
;41;0,915468;0,0249178;0,617792;;;41;0,999345;0,000126187;0,603184
;42;0,911614;0,0251922;0,615443;;;42;0,999324;0,00012849;0,602919
;43;0,907765;0,0254254;0,613379;;;43;0,999304;0,000130817;0,602656
;44;0,903924;0,0256199;0,611576;;;44;0,999282;0,000133167;0,602393
;45;0,900094;0,0257782;0,610013;;;45;0,999261;0,000135539;0,602132
;46;0,896277;0,0259028;0,608669;;;46;0,999239;0,000137934;0,601872
;47;0,892476;0,0259962;0,607526;;;47;0,999217;0,000140352;0,601613
;48;0,888693;0,0260607;0,606569;;;48;0,999194;0,000142791;0,601355
;49;0,88493;0,0260984;0,605783;;;49;0,999171;0,000145253;0,601099
;50;0,881187;0,0261114;0,605153;;;50;0,999148;0,000147737;0,600843
;51;0,877467;0,0261018;0,604667;;;51;0,999124;0,000150242;0,600589
;52;0,873771;0,0260713;0,604314;;;52;0,9991;0,000152768;0,600336
;53;0,870099;0,0260219;0,604084;;;53;0,999075;0,000155316;0,600085
;54;0,866453;0,0259551;0,603965;;;54;0,99905;0,000157884;0,599834
;55;0,862833;0,0258725;0,603951;;;55;0,999025;0,000160473;0,599585
;56;0,859241;0,0257755;0,604032;;;56;0,998999;0,000163082;0,599337
;57;0,855676;0,0256656;0,604201;;;57;0,998973;0,000165711;0,599091
;58;0,85214;0,0255439;0,604451;;;58;0,998946;0,00016836;0,598845
;59;0,848633;0,0254116;0,604776;;;59;0,998919;0,000171028;0,598601
;60;0,845154;0,0252699;0,60517;;;60;0,998892;0,000173715;0,598358
;61;0,841705;0,0251196;0,605627;;;61;0,998864;0,000176421;0,598117
;62;0,838285;0,0249619;0,606143;;;62;0,998836;0,000179146;0,597877
;63;0,834896;0,0247974;0,606713;;;63;0,998808;0,000181889;0,597638
;64;0,831535;0,0246271;0,607332;;;64;0,998779;0,00018465;0,5974
;65;0,828205;0,0244516;0,607997;;;65;0,998749;0,000187428;0,597164
;66;0,824905;0,0242716;0,608704;;;66;0,99872;0,000190224;0,596929
;67;0,821635;0,0240877;0,60945;;;67;0,99869;0,000193037;0,596695
;68;0,818394;0,0239005;0,610232;;;68;0,998659;0,000195866;0,596463
;69;0,815183;0,0237105;0,611046;;;69;0,998628;0,000198711;0,596231
;70;0,812002;0,0235182;0,611889;;;70;0,998596;0,000201572;0,596002
;71;0,80885;0,023324;0,612761;;;71;0,998565;0,000204449;0,595773
;72;0,805728;0,0231284;0,613657;;;72;0,998532;0,000207341;0,595546
;73;0,802635;0,0229316;0,614577;;;73;0,9985;0,000210247;0,595321
;74;0,79957;0,022734;0,615518;;;74;0,998466;0,000213168;0,595096
;75;0,796535;0,0225359;0,616477;;;75;0,998433;0,000216103;0,594873
;76;0,793528;0,0223377;0,617455;;;76;0,998399;0,000219052;0,594652
;77;0,790549;0,0221394;0,618448;;;77;0,998364;0,000222013;0,594432
;78;0,787599;0,0219414;0,619456;;;78;0,998329;0,000224988;0,594213
;79;0,784676;0,0217438;0,620477;;;79;0,998294;0,000227975;0,593995
;80;0,781781;0,0215469;0,621509;;;80;0,998258;0,000230975;0,593779
;81;0,778913;0,0213507;0,622553;;;81;0,998222;0,000233985;0,593565
;82;0,776072;0,0211555;0,623606;;;82;0,998185;0,000237008;0,593351
;83;0,773258;0,0209614;0,624667;;;83;0,998148;0,000240041;0,593139
;84;0,77047;0,0207685;0,625736;;;84;0,998111;0,000243084;0,592929
;85;0,767708;0,0205769;0,626812;;;85;0,998073;0,000246138;0,59272
;86;0,764972;0,0203867;0,627894;;;86;0,998034;0,000249201;0,592512
;87;0,762262;0,0201979;0,628981;;;87;0,997995;0,000252274;0,592306
;88;0,759577;0,0200107;0,630072;;;88;0,997956;0,000255355;0,592101
;89;0,756918;0,0198251;0,631167;;;89;0,997916;0,000258445;0,591897
;90;0,754283;0,0196412;0,632266;;;90;0,997876;0,000261543;0,591695
;91;0,751672;0,019459;0,633367;;;91;0,997835;0,000264648;0,591494
;92;0,749086;0,0192785;0,63447;;;92;0,997794;0,000267761;0,591295
;93;0,746523;0,0190998;0,635575;;;93;0,997753;0,00027088;0,591097
;94;0,743984;0,0189229;0,636681;;;94;0,997711;0,000274005;0,5909
;95;0,741468;0,0187479;0,637788;;;95;0,997668;0,000277137;0,590705
;96;0,738976;0,0185747;0,638896;;;96;0,997625;0,000280274;0,590511
;97;0,736506;0,0184034;0,640003;;;97;0,997582;0,000283416;0,590319
;98;0,734058;0,018234;0,641111;;;98;0,997538;0,000286563;0,590128
;99;0,731633;0,0180664;0,642218;;;99;0,997493;0,000289714;0,589939
;100;0,729229;0,0179008;0,643323;;;100;0,997449;0,000292869;0,589751
;101;0,726848;0,017737;0,644428;;;101;0,997404;0,000296027;0,589564
;102;0,724487;0,0175751;0,645532;;;102;0,997358;0,000299188;0,589379
;103;0,722148;0,0174151;0,646634;;;103;0,997312;0,000302352;0,589195
;104;0,71983;0,017257;0,647734;;;104;0,997265;0,000305518;0,589013
;105;0,717532;0,0171007;0,648832;;;105;0,997218;0,000308686;0,588832
;106;0,715254;0,0169463;0,649928;;;106;0,997171;0,000311855;0,588652
;107;0,712997;0,0167937;0,651022;;;107;0,997123;0,000315025;0,588474
;108;0,710759;0,016643;0,652114;;;108;0,997074;0,000318195;0,588297
;109;0,708541;0,016494;0,653203;;;109;0,997025;0,000321366;0,588122
;110;0,706343;0,0163469;0,654289;;;110;0,996976;0,000324536;0,587948
