R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;0;0,9999223;0,0000527;0,997874075;-2,26299E-06;-102,859;-194,343;;;;0;0,9999223;0,0000527;0,614912367;-0,101187881;-165,651;-21985,5
;;1;0,999895251;7,10E-05;0,997528127;-3,08232E-06;-103,0596228;-194,347075;;;;1;0,999913371;5,40E-05;0,6147608;-0,101282843;-165,6838834;-21495,27402
;;2;0,999858896;9,55E-05;0,996684877;-5,54676E-06;-103,259795;-194,3517825;;;;2;0,999904231;5,53E-05;0,614458103;-0,101472646;-165,7164899;-21019,44626
;;3;0,999810106;0,000128433;0,995560387;-9,955E-06;-103,4592324;-194,3572188;;;;3;0,999894876;5,67E-05;0,614156089;-0,101662265;-165,7488196;-20557,5297
;;4;0,999744756;0,000172444;0,994065939;-1,78006E-05;-103,6575594;-194,363494;;;;4;0,999885302;5,81E-05;0,613854821;-0,101851658;-165,7808725;-20109,05419
;;5;0,999657447;0,000231126;0,992088465;-3,16797E-05;-103,8542841;-194,3707323;;;;5;0,999875506;5,95E-05;0,613554306;-0,102040817;-165,8126487;-19673,57272
;;6;0,999541191;0,000309058;0,989486947;-5,60287E-05;-104,0487677;-194,3790726;;;;6;0,999865484;6,09E-05;0,613254548;-0,102229737;-165,8441482;-19250,65336
;;7;0,999387064;0,000412017;0,986089919;-9,82916E-05;-104,2401906;-194,3886675;;;;7;0,999855234;6,23E-05;0,61295556;-0,102418411;-165,8753711;-18839,88013
;;8;0,999183863;0,000547137;0,981696343;-0,00017065;-104,4275175;-194,3996804;;;;8;0,999844751;6,38E-05;0,612657353;-0,10260683;-165,9063175;-18440,85233
;;9;0,998917846;0,000722973;0,97608206;-0,000292416;-104,6094664;-194,4122792;;;;9;0,999834031;6,53E-05;0,612359937;-0,102794984;-165,9369875;-18053,184
;;10;0,998572624;0,000949405;0,969014259;-0,000492959;-104,7844886;-194,426627;;;;10;0,999823072;6,68E-05;0,612063324;-0,102982865;-165,9673813;-17676,50276
;;11;0,998129338;0,001237297;0,960275859;-0,000814735;-104,95077;-194,4428665;;;;11;0,999811869;6,84E-05;0,611767531;-0,103170461;-165,9974989;-17310,4501
;;12;0,997567224;0,001597832;0,949699042;-0,001315323;-105,1062637;-194,4611009;;;;12;0,99980042;6,99E-05;0,611472565;-0,103357765;-166,0273406;-16954,6813
;;13;0,99686461;0,002041538;0,937202976;-0,002066952;-105,2487609;-194,4813719;;;;13;0,99978872;7,15E-05;0,611178431;-0,103544772;-166,0569065;-16608,86339
;;14;0,996000301;0,00257708;0,922826609;-0,003151933;-105,3759988;-194,5036395;;;;14;0,999776766;7,32E-05;0,610885145;-0,103731471;-166,0861968;-16272,67541
;;15;0,994955158;0,003210036;0,906745015;-0,004653393;-105,4857956;-194,5277676;;;;15;0,999764555;7,48E-05;0,610592717;-0,103917853;-166,1152116;-15945,80799
;;16;0,9937136;0,00394191;0,889261465;-0,006642639;-105,57619;-194,553522;;;;16;0,999752082;7,65E-05;0,610301158;-0,10410391;-166,1439513;-15627,96285
;;17;0,992264725;0,004769637;0,870774304;-0,009166296;-105,6455627;-194,5805817;;;;17;0,999739345;7,82E-05;0,610010478;-0,104289632;-166,1724159;-15318,85234
;;18;0,990602875;0,00568567;0,851728285;-0,01223715;-105,6927185;-194,608561;;;;18;0,999726339;7,99E-05;0,60972069;-0,104475011;-166,2006058;-15018,19905
;;19;0,988727596;0,006678621;0,832562873;-0,015831339;-105,7169209;-194,6370398;;;;19;0,999713061;8,16E-05;0,609431803;-0,104660039;-166,2285213;-14725,73539
;;20;0,986643105;0,007734274;0,813670511;-0,019892175;-105,7178812;-194,6655927;;;;20;0,999699508;8,34E-05;0,609143829;-0,104844705;-166,2561625;-14441,20326
;;21;0,984357446;0,008836749;0,795370994;-0,02433876;-105,6957132;-194,6938151;;;;21;0,999685675;8,52E-05;0,608856778;-0,105029002;-166,2835298;-14164,35362
;;22;0,98188153;0,009969617;0,777902344;-0,02907652;-105,6508686;-194,7213408;;;;22;0,99967156;8,70E-05;0,608570661;-0,10521292;-166,3106235;-13894,94617
