t	Ns	Ni
-5715.951385713546	0.810863	0.0234485
-5716.951385713546	0.814034	0.0236415
-5717.951385713546	0.817234	0.0238324
-5718.951385713546	0.820464	0.0240206
-5719.951385713546	0.823723	0.0242058
-5720.951385713546	0.827013	0.0243872
-5721.951385713546	0.830332	0.0245644
-5722.951385713546	0.833682	0.0247367
-5723.951385713546	0.837061	0.0249034
-5724.951385713546	0.84047	0.0250637
-5725.951385713546	0.843908	0.0252167
-5726.951385713546	0.847376	0.0253616
-5727.951385713546	0.850873	0.0254974
-5728.951385713546	0.854399	0.0256231
-5729.951385713546	0.857953	0.0257374
-5730.951385713546	0.861536	0.0258392
-5731.951385713546	0.865146	0.0259271
-5732.951385713546	0.868782	0.0259998
-5733.951385713546	0.872445	0.0260557
-5734.951385713546	0.876132	0.0260932
-5735.951385713546	0.879844	0.0261105
-5736.951385713546	0.883579	0.0261059
-5737.951385713546	0.887335	0.0260773
-5738.951385713546	0.891111	0.0260227
-5739.951385713546	0.894906	0.0259401
-5740.951385713546	0.898717	0.0258269
-5741.951385713546	0.902543	0.025681
-5742.951385713546	0.90638	0.0254999
-5743.951385713546	0.910227	0.025281
-5744.951385713546	0.914079	0.0250217
-5745.951385713546	0.917935	0.0247194
-5746.951385713546	0.92179	0.0243716
-5747.951385713546	0.92564	0.0239756
-5748.951385713546	0.92948	0.0235289
-5749.951385713546	0.933306	0.0230293
-5750.951385713546	0.937112	0.0224745
-5751.951385713546	0.940891	0.0218627
-5752.951385713546	0.944638	0.0211926
-5753.951385713546	0.948343	0.0204631
-5754.951385713546	0.952	0.0196741
-5755.951385713546	0.955599	0.018826
-5756.951385713546	0.95913	0.0179204
-5757.951385713546	0.962582	0.0169598
-5758.951385713546	0.965945	0.0159483
-5759.951385713546	0.969206	0.0148912
-5760.951385713546	0.97235	0.013796
-5761.951385713546	0.975366	0.0126714
-5762.951385713546	0.978237	0.0115285
-5763.951385713546	0.980951	0.0103799
-5764.951385713546	0.983492	0.00924018
-5765.951385713546	0.985847	0.00812499
-5766.951385713546	0.988005	0.00705071
-5767.951385713546	0.989956	0.00603356
-5768.951385713546	0.991694	0.00508849
-5769.951385713546	0.993219	0.00422803
-5770.951385713546	0.994534	0.0034612
-5771.951385713546	0.995648	0.00279272
-5772.951385713546	0.996575	0.00222269
-5773.951385713546	0.997333	0.00174691
-5774.951385713546	0.997943	0.00135769
-5775.951385713546	0.998427	0.00104502
-5776.951385713546	0.998805	0.000797818
-5777.951385713546	0.999097	0.000605029
-5778.951385713546	0.999321	0.000456364
-5779.951385713546	0.999492	0.000342764
-5780.951385713546	0.99962	0.000256587
-5781.951385713546	0.999717	0.000191586
-5782.951385713546	0.99979	0.000142773
-5783.951385713546	0.999844	0.000106239
-5784.951385713546	0.999884	0.000078965
-5785.951385713546	0.999914	0.000058644
