t	Ns	Ni	Dead_pi_0.0062	A	LogRS	Rt	DiscHealthCost	DiscTotalCost
0.	0.999922	0.0000526735	51.0905	0.997875	1.12715	3.0866	0.182333	0.182611
1.	0.999895	0.0000709423	68.9142	0.997149	1.12569	3.08202	0.245088	0.245588
2.	0.999859	0.0000954763	92.9126	0.996178	1.12374	3.07592	0.329197	0.330094
3.	0.99981	0.000128366	125.195	0.994886	1.12115	3.06779	0.441726	0.443331
4.	0.999745	0.000172355	168.569	0.993172	1.1177	3.05703	0.59193	0.594787
5.	0.999657	0.000231007	226.754	0.99091	1.11314	3.04285	0.791799	0.796862
6.	0.999541	0.0003089	304.648	0.987943	1.10714	3.02431	1.0567	1.0656
7.	0.999387	0.000411811	408.651	0.984085	1.09932	3.00027	1.40596	1.42149
8.	0.999184	0.000546869	547.031	0.979122	1.0892	2.96948	1.86339	1.89014
9.	0.998918	0.000722627	730.335	0.972822	1.07629	2.93061	2.45741	2.50285
10.	0.998573	0.000948966	971.794	0.964954	1.06005	2.88241	3.22075	3.29655
11.	0.99813	0.00123675	1287.66	0.955322	1.03999	2.82389	4.18919	4.31294
12.	0.997568	0.00159715	1697.42	0.943793	1.0157	2.75459	5.39931	5.59632
13.	0.996866	0.0020407	2223.72	0.930342	0.986995	2.67475	6.88518	7.18996
14.	0.996002	0.00257607	2892.04	0.915075	0.953903	2.58544	8.67436	9.13128
15.	0.994957	0.00320884	3729.94	0.898234	0.916753	2.48854	10.7838	11.4463
16.	0.993716	0.00394052	4766.05	0.880178	0.87614	2.38652	13.2166	14.1451
17.	0.992267	0.00476806	6028.78	0.861337	0.832862	2.28211	15.9607	17.2185
18.	0.990606	0.00568392	7544.99	0.84216	0.787831	2.17797	18.9889	20.6382
19.	0.988731	0.00667671	9338.75	0.823069	0.741972	2.07641	22.2617	24.359
20.	0.986647	0.00773222	11430.4	0.804424	0.696145	1.97922	25.7302	28.3231
21.	0.984362	0.00883456	13835.9	0.786505	0.651088	1.88764	29.3405	32.4654
22.	0.981886	0.0099673	16566.5	0.769507	0.607392	1.80239	33.0372	36.7184
23.	0.979233	0.0111144	19628.6	0.753556	0.565498	1.72377	36.7668	41.0167
24.	0.976417	0.0122609	23024.2	0.738713	0.525711	1.65177	40.4796	45.2997
25.	0.973452	0.0133935	26751.2	0.724995	0.488222	1.58616	44.1315	49.5141
26.	0.970352	0.0145004	30803.7	0.712384	0.453126	1.52658	47.6849	53.6141
27.	0.967132	0.0155722	35172.9	0.700839	0.420449	1.4726	51.1083	57.5623
28.	0.963805	0.0166008	39847.4	0.690306	0.39016	1.42375	54.377	61.3293
29.	0.960383	0.0175803	44813.7	0.68072	0.362195	1.37957	57.4718	64.8927
30.	0.956879	0.0185061	50056.9	0.672018	0.336461	1.33962	60.3792	68.2369
31.	0.953303	0.0193752	55560.8	0.664131	0.312852	1.30347	63.0901	71.3515
32.	0.949667	0.0201856	61308.7	0.656997	0.291251	1.27075	65.5995	74.2312
33.	0.945978	0.0209365	67283.5	0.650553	0.271538	1.2411	67.9058	76.8747
34.	0.942245	0.0216279	73467.7	0.644742	0.253593	1.21422	70.0101	79.2837
35.	0.938477	0.0222606	79844.2	0.639511	0.237298	1.18982	71.916	81.4628
36.	0.93468	0.0228357	86396.2	0.634809	0.22254	1.16764	73.6287	83.4184
37.	0.930861	0.023355	93107.	0.630592	0.209209	1.14747	75.1546	85.1585
38.	0.927025	0.0238205	99960.9	0.626818	0.197203	1.12911	76.5015	86.6922
39.	0.923178	0.0242345	106942.	0.623449	0.186425	1.11237	77.6777	88.0296
40.	0.919324	0.0245994	114037.	0.620451	0.176783	1.0971	78.6919	89.1809
41.	0.915468	0.0249178	121231.	0.617792	0.168194	1.08315	79.5533	90.1569
42.	0.911614	0.0251922	128511.	0.615443	0.160576	1.07041	80.2711	90.9684
43.	0.907765	0.0254254	135864.	0.613379	0.153858	1.05875	80.8544	91.626
44.	0.903924	0.0256199	143280.	0.611576	0.147971	1.04808	81.3122	92.1402
45.	0.900094	0.0257782	150747.	0.610013	0.142851	1.03831	81.6535	92.5212
46.	0.896277	0.0259028	158255.	0.608669	0.13844	1.02936	81.8866	92.779
47.	0.892476	0.0259962	165794.	0.607526	0.134683	1.02115	82.0199	92.9229
48.	0.888693	0.0260607	173356.	0.606569	0.13153	1.01362	82.0612	92.962
49.	0.88493	0.0260984	180933.	0.605783	0.128935	1.00671	82.0179	92.905
50.	0.881187	0.0261114	188518.	0.605153	0.126855	1.00037	81.8971	92.7597
51.	0.877467	0.0261018	196103.	0.604667	0.125249	0.994548	81.7056	92.5341
52.	0.873771	0.0260713	203682.	0.604314	0.124081	0.989202	81.4495	92.2352
53.	0.870099	0.0260219	211249.	0.604084	0.123317	0.984293	81.1349	91.8698
54.	0.866453	0.0259551	218799.	0.603965	0.122926	0.979785	80.7671	91.4441
55.	0.862833	0.0258725	226328.	0.603951	0.122878	0.975645	80.3514	90.9641
56.	0.859241	0.0257755	233831.	0.604032	0.123146	0.971844	79.8925	90.4352
57.	0.855676	0.0256656	241303.	0.604201	0.123705	0.968354	79.3949	89.8624
58.	0.85214	0.0255439	248742.	0.604451	0.124533	0.965151	78.8628	89.2504
59.	0.848633	0.0254116	256144.	0.604776	0.125608	0.962212	78.2998	88.6037
60.	0.845154	0.0252699	263506.	0.60517	0.12691	0.959516	77.7096	87.9261
61.	0.841705	0.0251196	270826.	0.605627	0.128421	0.957045	77.0954	87.2215
62.	0.838285	0.0249619	278100.	0.606143	0.130124	0.954782	76.4602	86.4931
63.	0.834896	0.0247974	285328.	0.606713	0.132003	0.952709	75.8068	85.7441
64.	0.831535	0.0246271	292508.	0.607332	0.134044	0.950813	75.1377	84.9775
65.	0.828205	0.0244516	299637.	0.607997	0.136233	0.949081	74.4552	84.1958
66.	0.824905	0.0242716	306714.	0.608704	0.138557	0.947499	73.7614	83.4014
67.	0.821635	0.0240877	313739.	0.60945	0.141006	0.946056	73.0584	82.5966
68.	0.818394	0.0239005	320710.	0.610232	0.143569	0.944743	72.3478	81.7833
69.	0.815183	0.0237105	327626.	0.611046	0.146234	0.943548	71.6313	80.9634
70.	0.812002	0.0235182	334486.	0.611889	0.148995	0.942464	70.9103	80.1386
71.	0.80885	0.023324	341290.	0.612761	0.151841	0.941482	70.1863	79.3104
72.	0.805728	0.0231284	348038.	0.613657	0.154765	0.940594	69.4603	78.4802
73.	0.802635	0.0229316	354728.	0.614577	0.15776	0.939793	68.7336	77.6492
74.	0.79957	0.022734	361362.	0.615518	0.160819	0.939073	68.0071	76.8185
75.	0.796535	0.0225359	367937.	0.616477	0.163935	0.938428	67.2818	75.9892
76.	0.793528	0.0223377	374456.	0.617455	0.167103	0.937852	66.5583	75.1622
77.	0.790549	0.0221394	380916.	0.618448	0.170318	0.93734	65.8376	74.3383
78.	0.787599	0.0219414	387319.	0.619456	0.173575	0.936888	65.1201	73.5182
79.	0.784676	0.0217438	393665.	0.620477	0.176868	0.93649	64.4066	72.7027
80.	0.781781	0.0215469	399953.	0.621509	0.180194	0.936143	63.6975	71.8924
81.	0.778913	0.0213507	406184.	0.622553	0.183549	0.935843	62.9933	71.0876
82.	0.776072	0.0211555	412359.	0.623606	0.186928	0.935586	62.2944	70.289
83.	0.773258	0.0209614	418476.	0.624667	0.19033	0.93537	61.6012	69.4969
84.	0.77047	0.0207685	424538.	0.625736	0.19375	0.93519	60.9139	68.7117
85.	0.767708	0.0205769	430543.	0.626812	0.197185	0.935045	60.233	67.9337
86.	0.764972	0.0203867	436494.	0.627894	0.200634	0.934932	59.5586	67.1632
87.	0.762262	0.0201979	442389.	0.628981	0.204093	0.934848	58.8908	66.4004
88.	0.759577	0.0200107	448229.	0.630072	0.20756	0.934791	58.23	65.6455
89.	0.756918	0.0198251	454016.	0.631167	0.211034	0.934759	57.5763	64.8987
90.	0.754283	0.0196412	459749.	0.632266	0.214511	0.934749	56.9297	64.1601
91.	0.751672	0.019459	465428.	0.633367	0.217992	0.934762	56.2904	63.4298
92.	0.749086	0.0192785	471055.	0.63447	0.221472	0.934793	55.6584	62.708
93.	0.746523	0.0190998	476630.	0.635575	0.224952	0.934843	55.0339	61.9947
94.	0.743984	0.0189229	482153.	0.636681	0.22843	0.93491	54.4168	61.2899
95.	0.741468	0.0187479	487625.	0.637788	0.231905	0.934991	53.8072	60.5937
96.	0.738976	0.0185747	493046.	0.638896	0.235375	0.935087	53.2051	59.9061
97.	0.736506	0.0184034	498417.	0.640003	0.238839	0.935195	52.6105	59.2271
98.	0.734058	0.018234	503739.	0.641111	0.242296	0.935316	52.0234	58.5567
99.	0.731633	0.0180664	509012.	0.642218	0.245746	0.935447	51.4438	57.8949
100.	0.729229	0.0179008	514236.	0.643323	0.249187	0.935588	50.8716	57.2416
101.	0.726848	0.017737	519413.	0.644428	0.252619	0.935738	50.3069	56.5967
102.	0.724487	0.0175751	524542.	0.645532	0.25604	0.935896	49.7495	55.9604
103.	0.722148	0.0174151	529625.	0.646634	0.259452	0.936062	49.1994	55.3323
104.	0.71983	0.017257	534661.	0.647734	0.262852	0.936235	48.6566	54.7127
105.	0.717532	0.0171007	539652.	0.648832	0.26624	0.936413	48.121	54.1012
106.	0.715254	0.0169463	544597.	0.649928	0.269616	0.936598	47.5925	53.4979
107.	0.712997	0.0167937	549498.	0.651022	0.272979	0.936787	47.0711	52.9027
108.	0.710759	0.016643	554355.	0.652114	0.27633	0.936981	46.5566	52.3156
109.	0.708541	0.016494	559168.	0.653203	0.279666	0.937179	46.0491	51.7363
110.	0.706343	0.0163469	563939.	0.654289	0.28299	0.937381	45.5484	51.1649
111.	0.704163	0.0162016	568666.	0.655372	0.286299	0.937586	45.0544	50.6012
112.	0.702002	0.016058	573352.	0.656453	0.289593	0.937794	44.5672	50.0451
113.	0.69986	0.0159162	577997.	0.65753	0.292873	0.938004	44.0865	49.4966
114.	0.697737	0.0157761	582600.	0.658605	0.296139	0.938217	43.6123	48.9556
115.	0.695631	0.0156377	587163.	0.659676	0.29939	0.938431	43.1445	48.4219
116.	0.693544	0.015501	591686.	0.660744	0.302625	0.938647	42.6831	47.8954
117.	0.691474	0.0153659	596170.	0.661809	0.305845	0.938864	42.2279	47.3761
118.	0.689422	0.0152326	600615.	0.66287	0.30905	0.939083	41.7789	46.8639
119.	0.687387	0.0151008	605021.	0.663928	0.31224	0.939302	41.3359	46.3586
120.	0.685369	0.0149707	609389.	0.664983	0.315414	0.939522	40.8989	45.8602
121.	0.683368	0.0148421	613719.	0.666034	0.318572	0.939743	40.4678	45.3686
122.	0.681384	0.0147151	618013.	0.667081	0.321715	0.939964	40.0425	44.8836
123.	0.679416	0.0145897	622269.	0.668125	0.324843	0.940185	39.623	44.4051
124.	0.677465	0.0144658	626490.	0.669165	0.327954	0.940406	39.209	43.9331
125.	0.67553	0.0143434	630674.	0.670202	0.33105	0.940627	38.8006	43.4675
126.	0.67361	0.0142225	634824.	0.671235	0.334131	0.940848	38.3977	43.0081
127.	0.671706	0.014103	638938.	0.672264	0.337195	0.941069	38.0002	42.555
128.	0.669818	0.013985	643018.	0.67329	0.340244	0.941289	37.6079	42.1078
129.	0.667945	0.0138684	647064.	0.674312	0.343277	0.941508	37.2209	41.6667
130.	0.666087	0.0137532	651076.	0.67533	0.346295	0.941727	36.839	41.2315
131.	0.664244	0.0136394	655055.	0.676345	0.349297	0.941946	36.4622	40.8021
132.	0.662416	0.013527	659001.	0.677355	0.352284	0.942163	36.0904	40.3784
133.	0.660603	0.0134159	662915.	0.678362	0.355255	0.94238	35.7234	39.9603
134.	0.658804	0.0133061	666796.	0.679366	0.358211	0.942595	35.3613	39.5477
135.	0.65702	0.0131976	670646.	0.680365	0.361151	0.94281	35.0039	39.1406
136.	0.655249	0.0130905	674465.	0.681361	0.364076	0.943024	34.6512	38.7388
137.	0.653492	0.0129845	678252.	0.682353	0.366986	0.943236	34.3031	38.3423
138.	0.65175	0.0128799	682009.	0.683341	0.369881	0.943448	33.9595	37.951
139.	0.650021	0.0127764	685736.	0.684326	0.37276	0.943658	33.6204	37.5648
140.	0.648305	0.0126742	689433.	0.685307	0.375625	0.943867	33.2856	37.1836
141.	0.646603	0.0125732	693100.	0.686284	0.378474	0.944075	32.9552	36.8074
142.	0.644913	0.0124733	696738.	0.687257	0.381309	0.944282	32.629	36.4361
143.	0.643237	0.0123746	700348.	0.688227	0.384129	0.944488	32.307	36.0696
144.	0.641574	0.012277	703928.	0.689193	0.386934	0.944692	31.9891	35.7077
145.	0.639924	0.0121806	707481.	0.690155	0.389725	0.944895	31.6753	35.3506
146.	0.638286	0.0120852	711006.	0.691114	0.392501	0.945097	31.3654	34.998
147.	0.63666	0.011991	714503.	0.692069	0.395263	0.945297	31.0595	34.6498
148.	0.635047	0.0118978	717973.	0.69302	0.398011	0.945496	30.7574	34.3062
149.	0.633446	0.0118057	721416.	0.693968	0.400744	0.945693	30.4592	33.9669
150.	0.631857	0.0117146	724833.	0.694912	0.403463	0.94589	30.1646	33.6319
151.	0.63028	0.0116246	728223.	0.695853	0.406168	0.946084	29.8738	33.3011
152.	0.628715	0.0115356	731587.	0.69679	0.408859	0.946278	29.5866	32.9744
153.	0.627161	0.0114475	734925.	0.697723	0.411536	0.94647	29.3029	32.6519
154.	0.625619	0.0113605	738238.	0.698653	0.414199	0.946661	29.0228	32.3334
155.	0.624088	0.0112744	741526.	0.699579	0.416849	0.94685	28.7461	32.0189
156.	0.622569	0.0111893	744789.	0.700502	0.419485	0.947038	28.4728	31.7082
157.	0.621061	0.0111051	748028.	0.701421	0.422108	0.947225	28.2029	31.4014
158.	0.619564	0.0110218	751242.	0.702337	0.424717	0.94741	27.9363	31.0984
159.	0.618077	0.0109394	754432.	0.703249	0.427313	0.947594	27.6729	30.7992
160.	0.616602	0.010858	757598.	0.704157	0.429896	0.947777	27.4127	30.5036
