t	Ns	Ni
-5548.787335054766	0.527856	0.00649869
-5549.787335054766	0.528748	0.00653738
-5550.787335054766	0.529646	0.00657641
-5551.787335054766	0.530549	0.00661577
-5552.787335054766	0.531457	0.00665547
-5553.787335054766	0.532371	0.0066955
-5554.787335054766	0.53329	0.00673588
-5555.787335054766	0.534214	0.00677661
-5556.787335054766	0.535144	0.00681769
-5557.787335054766	0.53608	0.00685913
-5558.787335054766	0.537021	0.00690092
-5559.787335054766	0.537967	0.00694308
-5560.787335054766	0.53892	0.00698562
-5561.787335054766	0.539878	0.00702852
-5562.787335054766	0.540842	0.0070718
-5563.787335054766	0.541811	0.00711547
-5564.787335054766	0.542787	0.00715952
-5565.787335054766	0.543769	0.00720397
-5566.787335054766	0.544756	0.00724881
-5567.787335054766	0.54575	0.00729405
-5568.787335054766	0.546749	0.0073397
-5569.787335054766	0.547755	0.00738576
-5570.787335054766	0.548767	0.00743223
-5571.787335054766	0.549785	0.00747913
-5572.787335054766	0.55081	0.00752645
-5573.787335054766	0.55184	0.00757421
-5574.787335054766	0.552878	0.0076224
-5575.787335054766	0.553921	0.00767103
-5576.787335054766	0.554972	0.00772012
-5577.787335054766	0.556029	0.00776965
-5578.787335054766	0.557092	0.00781965
-5579.787335054766	0.558162	0.00787011
-5580.787335054766	0.559239	0.00792104
-5581.787335054766	0.560323	0.00797245
-5582.787335054766	0.561414	0.00802434
-5583.787335054766	0.562512	0.00807672
-5584.787335054766	0.563616	0.0081296
-5585.787335054766	0.564728	0.00818298
-5586.787335054766	0.565847	0.00823687
-5587.787335054766	0.566973	0.00829127
-5588.787335054766	0.568107	0.00834619
-5589.787335054766	0.569247	0.00840164
-5590.787335054766	0.570396	0.00845763
-5591.787335054766	0.571551	0.00851416
-5592.787335054766	0.572715	0.00857124
-5593.787335054766	0.573886	0.00862888
-5594.787335054766	0.575064	0.00868708
-5595.787335054766	0.576251	0.00874585
-5596.787335054766	0.577445	0.0088052
-5597.787335054766	0.578647	0.00886514
