t	Ns	Ni
-5178.846789200225	0.374637	0.00128157
-5179.846789200225	0.374816	0.00128609
-5180.846789200225	0.374996	0.00129062
-5181.846789200225	0.375176	0.00129518
-5182.846789200225	0.375357	0.00129975
-5183.846789200225	0.375538	0.00130434
-5184.846789200225	0.37572	0.00130896
-5185.846789200225	0.375903	0.00131359
-5186.846789200225	0.376086	0.00131824
-5187.846789200225	0.37627	0.00132292
-5188.846789200225	0.376455	0.00132761
-5189.846789200225	0.37664	0.00133232
-5190.846789200225	0.376826	0.00133706
-5191.846789200225	0.377013	0.00134181
-5192.846789200225	0.3772	0.00134659
-5193.846789200225	0.377388	0.00135138
-5194.846789200225	0.377576	0.0013562
-5195.846789200225	0.377766	0.00136104
-5196.846789200225	0.377956	0.0013659
-5197.846789200225	0.378146	0.00137078
-5198.846789200225	0.378337	0.00137568
-5199.846789200225	0.378529	0.0013806
-5200.846789200225	0.378722	0.00138555
-5201.846789200225	0.378915	0.00139051
-5202.846789200225	0.379109	0.0013955
-5203.846789200225	0.379304	0.00140051
-5204.846789200225	0.3795	0.00140554
-5205.846789200225	0.379696	0.0014106
-5206.846789200225	0.379892	0.00141568
-5207.846789200225	0.38009	0.00142078
-5208.846789200225	0.380288	0.0014259
-5209.846789200225	0.380487	0.00143104
-5210.846789200225	0.380687	0.00143621
-5211.846789200225	0.380887	0.0014414
-5212.846789200225	0.381088	0.00144661
-5213.846789200225	0.38129	0.00145185
-5214.846789200225	0.381492	0.00145711
-5215.846789200225	0.381696	0.0014624
-5216.846789200225	0.3819	0.0014677
-5217.846789200225	0.382104	0.00147304
-5218.846789200225	0.38231	0.00147839
-5219.846789200225	0.382516	0.00148377
-5220.846789200225	0.382723	0.00148917
-5221.846789200225	0.382931	0.0014946
-5222.846789200225	0.383139	0.00150005
-5223.846789200225	0.383348	0.00150553
-5224.846789200225	0.383558	0.00151103
-5225.846789200225	0.383769	0.00151656
-5226.846789200225	0.383981	0.00152211
-5227.846789200225	0.384193	0.00152769
-5228.846789200225	0.384406	0.00153329
-5229.846789200225	0.38462	0.00153892
-5230.846789200225	0.384834	0.00154457
-5231.846789200225	0.38505	0.00155025
-5232.846789200225	0.385266	0.00155596
-5233.846789200225	0.385483	0.00156169
-5234.846789200225	0.385701	0.00156745
-5235.846789200225	0.385919	0.00157323
-5236.846789200225	0.386138	0.00157904
-5237.846789200225	0.386359	0.00158488
-5238.846789200225	0.38658	0.00159074
-5239.846789200225	0.386801	0.00159663
-5240.846789200225	0.387024	0.00160255
-5241.846789200225	0.387247	0.0016085
-5242.846789200225	0.387472	0.00161447
-5243.846789200225	0.387697	0.00162047
-5244.846789200225	0.387923	0.0016265
-5245.846789200225	0.388149	0.00163256
-5246.846789200225	0.388377	0.00163864
