t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
0.	0.999922	0.0000526992	51.0382	0.720983	0.477123	1.61131	0.091211	6.01016
1.	0.99991	0.0000575024	67.0359	0.720667	0.476245	1.60987	0.0993283	6.02159
2.	0.999896	0.0000627306	84.4899	0.72035	0.475366	1.60843	0.108146	6.03375
3.	0.999881	0.00006842	103.529	0.720032	0.474484	1.60699	0.117722	6.04668
4.	0.999864	0.0000746101	124.292	0.719714	0.473599	1.60555	0.128119	6.06045
5.	0.999846	0.0000813433	146.932	0.719395	0.472712	1.60409	0.139406	6.07514
6.	0.999827	0.0000886657	171.612	0.719074	0.471821	1.60263	0.151656	6.09081
7.	0.999806	0.000096627	198.511	0.718753	0.470928	1.60117	0.164947	6.10755
8.	0.999783	0.000105281	227.822	0.718431	0.470031	1.5997	0.179366	6.12545
9.	0.999758	0.000114686	259.755	0.718108	0.469131	1.59822	0.195004	6.1446
10.	0.99973	0.000124905	294.537	0.717783	0.468226	1.59673	0.211961	6.16511
11.	0.999701	0.000136005	332.414	0.717457	0.467318	1.59523	0.230343	6.18709
12.	0.999668	0.00014806	373.652	0.71713	0.466405	1.59372	0.250266	6.21065
13.	0.999633	0.000161149	418.541	0.716801	0.465488	1.59221	0.271852	6.23592
14.	0.999595	0.000175356	467.393	0.71647	0.464565	1.59068	0.295237	6.26304
15.	0.999553	0.000190774	520.545	0.716138	0.463637	1.58914	0.320563	6.29216
16.	0.999508	0.000207502	578.365	0.715804	0.462703	1.58758	0.347984	6.32345
17.	0.999459	0.000225647	641.247	0.715467	0.461763	1.58601	0.377667	6.35706
18.	0.999406	0.000245323	709.62	0.715129	0.460817	1.58443	0.409789	6.39319
19.	0.999348	0.000266653	783.947	0.714788	0.459863	1.58282	0.444542	6.43204
20.	0.999285	0.000289772	864.727	0.714444	0.458901	1.5812	0.482132	6.47381
21.	0.999217	0.000314822	952.5	0.714098	0.457931	1.57956	0.522778	6.51874
22.	0.999143	0.000341956	1047.85	0.713748	0.456952	1.5779	0.566717	6.56706
23.	0.999062	0.00037134	1151.4	0.713395	0.455963	1.57621	0.614202	6.61905
24.	0.998975	0.000403152	1263.84	0.713039	0.454964	1.5745	0.665505	6.67499
25.	0.998881	0.000437581	1385.9	0.712679	0.453954	1.57276	0.720915	6.73517
26.	0.998779	0.000474831	1518.36	0.712315	0.452932	1.571	0.780743	6.79991
27.	0.998668	0.000515121	1662.08	0.711946	0.451896	1.5692	0.845321	6.86956
28.	0.998547	0.000558684	1817.98	0.711573	0.450847	1.56736	0.915002	6.9445
29.	0.998417	0.000605771	1987.04	0.711194	0.449783	1.56549	0.990166	7.0251
30.	0.998276	0.00065665	2170.32	0.71081	0.448703	1.56358	1.07121	7.11179
31.	0.998123	0.000711605	2368.96	0.71042	0.447605	1.56163	1.15858	7.20501
32.	0.997958	0.000770942	2584.2	0.710024	0.446489	1.55963	1.25271	7.30524
33.	0.99778	0.000834985	2817.36	0.709621	0.445353	1.55758	1.3541	7.41297
34.	0.997586	0.00090408	3069.84	0.70921	0.444196	1.55547	1.46326	7.52876
35.	0.997377	0.000978594	3343.18	0.708792	0.443015	1.55331	1.58074	7.65316
36.	0.997152	0.00105892	3639.	0.708365	0.44181	1.55109	1.70712	7.78677
37.	0.996908	0.00114547	3959.04	0.707929	0.440579	1.5488	1.84301	7.93023
38.	0.996644	0.00123868	4305.19	0.707483	0.439319	1.54644	1.98906	8.08422
39.	0.99636	0.00133902	4679.44	0.707027	0.438028	1.54401	2.14594	8.24943
40.	0.996053	0.00144697	5083.94	0.706559	0.436705	1.54149	2.31438	8.42662
41.	0.995722	0.00156306	5520.96	0.70608	0.435347	1.53889	2.49513	8.61656
42.	0.995365	0.00168782	5992.96	0.705587	0.433952	1.53619	2.68898	8.82009
43.	0.994981	0.00182182	6502.53	0.705081	0.432518	1.5334	2.89675	9.03805
44.	0.994566	0.00196566	7052.44	0.704561	0.431041	1.5305	3.11931	9.27134
45.	0.99412	0.00211997	7645.65	0.704025	0.429518	1.52748	3.35754	9.5209
46.	0.99364	0.00228538	8285.28	0.703472	0.427947	1.52435	3.61239	9.78768
47.	0.993124	0.00246258	8974.66	0.702902	0.426325	1.52109	3.8848	10.0727
48.	0.992569	0.00265225	9717.31	0.702313	0.424649	1.51769	4.17578	10.377
49.	0.991973	0.00285512	10517.	0.701704	0.422914	1.51415	4.48632	10.7016
50.	0.991333	0.00307192	11377.6	0.701074	0.421118	1.51046	4.81747	11.0475
51.	0.990647	0.0033034	12303.3	0.700422	0.419257	1.50661	5.17027	11.416
52.	0.98991	0.00355033	13298.4	0.699746	0.417327	1.50258	5.54579	11.8081
53.	0.989121	0.00381347	14367.7	0.699046	0.415324	1.49838	5.94509	12.2248
54.	0.988277	0.0040936	15515.8	0.698319	0.413245	1.49399	6.36924	12.6674
55.	0.987373	0.0043915	16747.9	0.697565	0.411084	1.4894	6.81927	13.1369
56.	0.986407	0.00470791	18069.2	0.696783	0.408838	1.48461	7.29621	13.6344
57.	0.985375	0.0050436	19485.2	0.69597	0.406504	1.4796	7.80104	14.1609
58.	0.984273	0.00539926	21001.6	0.695125	0.404075	1.47436	8.33469	14.7173
59.	0.983099	0.00577559	22624.3	0.694248	0.40155	1.46889	8.89804	15.3047
60.	0.981848	0.0061732	24359.4	0.693336	0.398922	1.46317	9.49188	15.9239
61.	0.980517	0.00659269	26213.3	0.692389	0.396188	1.45719	10.1169	16.5755
62.	0.979102	0.00703454	28192.2	0.691406	0.393345	1.45096	10.7737	17.2602
63.	0.9776	0.00749918	30302.7	0.690384	0.390388	1.44446	11.4627	17.9785
64.	0.976006	0.00798693	32551.6	0.689324	0.387313	1.43767	12.1841	18.7307
65.	0.974318	0.00849799	34945.6	0.688223	0.384118	1.43061	12.9382	19.5169
