t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
0.	0.999922	0.0000526735	510.905	0.997875	112.715	30.866	0.182333	0.182611
1.	0.999895	0.0000709423	689.142	0.997149	112.569	308.202	0.245088	0.245588
2.	0.999859	0.0000954763	929.126	0.996178	112.374	307.592	0.329197	0.330094
3.	0.99981	0.000128366	125.195	0.994886	112.115	306.779	0.441726	0.443331
4.	0.999745	0.000172355	168.569	0.993172	11.177	305.703	0.59193	0.594787
5.	0.999657	0.000231007	226.754	0.99091	111.314	304.285	0.791799	0.796862
6.	0.999541	0.0003089	304.648	0.987943	110.714	302.431	10.567	10.656
7.	0.999387	0.000411811	408.651	0.984085	109.932	300.027	140.596	142.149
8.	0.999184	0.000546869	547.031	0.979122	10.892	296.948	186.339	189.014
9.	0.998918	0.000722627	730.335	0.972822	107.629	293.061	245.741	250.285
10.	0.998573	0.000948966	971.794	0.964954	106.005	288.241	322.075	329.655
11.	0.99813	0.00123675	1287.66	0.955322	103.999	282.389	418.919	431.294
12.	0.997568	0.00159715	1697.42	0.943793	10.157	275.459	539.931	559.632
13.	0.996866	0.0020407	2223.72	0.930342	0.986995	267.475	688.518	718.996
14.	0.996002	0.00257607	2892.04	0.915075	0.953903	258.544	867.436	913.128
15.	0.994957	0.00320884	3729.94	0.898234	0.916753	248.854	107.838	114.463
16.	0.993716	0.00394052	4766.05	0.880178	0.87614	238.652	132.166	141.451
17.	0.992267	0.00476806	6028.78	0.861337	0.832862	228.211	159.607	172.185
18.	0.990606	0.00568392	7544.99	0.84216	0.787831	217.797	189.889	206.382
19.	0.988731	0.00667671	9338.75	0.823069	0.741972	207.641	222.617	24.359
20.	0.986647	0.00773222	11430.4	0.804424	0.696145	197.922	257.302	283.231
21.	0.984362	0.00883456	13835.9	0.786505	0.651088	188.764	293.405	324.654
22.	0.981886	0.0099673	16566.5	0.769507	0.607392	180.239	330.372	367.184
23.	0.979233	0.0111144	19628.6	0.753556	0.565498	172.377	367.668	410.167
24.	0.976417	0.0122609	23024.2	0.738713	0.525711	165.177	404.796	452.997
25.	0.973452	0.0133935	26751.2	0.724995	0.488222	158.616	441.315	495.141
26.	0.970352	0.0145004	30803.7	0.712384	0.453126	152.658	476.849	536.141
27.	0.967132	0.0155722	35172.9	0.700839	0.420449	14.726	511.083	575.623
28.	0.963805	0.0166008	39847.4	0.690306	0.39016	142.375	54.377	613.293
29.	0.960383	0.0175803	44813.7	0.68072	0.362195	137.957	574.718	648.927
30.	0.956879	0.0185061	50056.9	0.672018	0.336461	133.962	603.792	682.369
31.	0.953303	0.0193752	55560.8	0.664131	0.312852	130.347	630.901	713.515
32.	0.949667	0.0201856	61308.7	0.656997	0.291251	127.075	655.995	742.312
33.	0.945978	0.0209365	67283.5	0.650553	0.271538	12.411	679.058	768.747
34.	0.942245	0.0216279	73467.7	0.644742	0.253593	121.422	700.101	792.837
35.	0.938477	0.0222606	79844.2	0.639511	0.237298	118.982	71.916	814.628
36.	0.93468	0.0228357	86396.2	0.634809	0.22254	116.764	736.287	834.184
37.	0.930861	0.023355	93107.	0.630592	0.209209	114.747	751.546	851.585
38.	0.927025	0.0238205	99960.9	0.626818	0.197203	112.911	765.015	866.922
39.	0.923178	0.0242345	106942.	0.623449	0.186425	111.237	776.777	880.296
40.	0.919324	0.0245994	114037.	0.620451	0.176783	10.971	786.919	891.809
41.	0.915468	0.0249178	121231.	0.617792	0.168194	108.315	795.533	901.569
42.	0.911614	0.0251922	128511.	0.615443	0.160576	107.041	802.711	909.684
43.	0.907765	0.0254254	135864.	0.613379	0.153858	105.875	808.544	91.626
44.	0.903924	0.0256199	143280.	0.611576	0.147971	104.808	813.122	921.402
45.	0.900094	0.0257782	150747.	0.610013	0.142851	103.831	816.535	925.212
46.	0.896277	0.0259028	158255.	0.608669	0.13844	102.936	818.866	92.779
47.	0.892476	0.0259962	165794.	0.607526	0.134683	102.115	820.199	929.229
48.	0.888693	0.0260607	173356.	0.606569	0.13153	101.362	820.612	92.962
49.	0.88493	0.0260984	180933.	0.605783	0.128935	100.671	820.179	92.905
50.	0.881187	0.0261114	188518.	0.605153	0.126855	100.037	818.971	927.597
51.	0.877467	0.0261018	196103.	0.604667	0.125249	0.994548	817.056	925.341
52.	0.873771	0.0260713	203682.	0.604314	0.124081	0.989202	814.495	922.352
53.	0.870099	0.0260219	211249.	0.604084	0.123317	0.984293	811.349	918.698
54.	0.866453	0.0259551	218799.	0.603965	0.122926	0.979785	807.671	914.441
55.	0.862833	0.0258725	226328.	0.603951	0.122878	0.975645	803.514	909.641
56.	0.859241	0.0257755	233831.	0.604032	0.123146	0.971844	798.925	904.352
57.	0.855676	0.0256656	241303.	0.604201	0.123705	0.968354	793.949	898.624
58.	0.85214	0.0255439	248742.	0.604451	0.124533	0.965151	788.628	892.504
59.	0.848633	0.0254116	256144.	0.604776	0.125608	0.962212	782.998	886.037
60.	0.845154	0.0252699	263506.	0.60517	0.12691	0.959516	777.096	879.261
61.	0.841705	0.0251196	270826.	0.605627	0.128421	0.957045	770.954	872.215
62.	0.838285	0.0249619	278100.	0.606143	0.130124	0.954782	764.602	864.931
63.	0.834896	0.0247974	285328.	0.606713	0.132003	0.952709	758.068	857.441
64.	0.831535	0.0246271	292508.	0.607332	0.134044	0.950813	751.377	849.775
65.	0.828205	0.0244516	299637.	0.607997	0.136233	0.949081	744.552	841.958
66.	0.824905	0.0242716	306714.	0.608704	0.138557	0.947499	737.614	834.014
67.	0.821635	0.0240877	313739.	0.60945	0.141006	0.946056	730.584	825.966
68.	0.818394	0.0239005	320710.	0.610232	0.143569	0.944743	723.478	817.833
69.	0.815183	0.0237105	327626.	0.611046	0.146234	0.943548	716.313	809.634
70.	0.812002	0.0235182	334486.	0.611889	0.148995	0.942464	709.103	801.386
71.	0.80885	0.023324	341290.	0.612761	0.151841	0.941482	701.863	793.104
72.	0.805728	0.0231284	348038.	0.613657	0.154765	0.940594	694.603	784.802
73.	0.802635	0.0229316	354728.	0.614577	0.15776	0.939793	687.336	776.492
74.	0.79957	0.022734	361362.	0.615518	0.160819	0.939073	680.071	768.185
75.	0.796535	0.0225359	367937.	0.616477	0.163935	0.938428	672.818	759.892
76.	0.793528	0.0223377	374456.	0.617455	0.167103	0.937852	665.583	751.622
77.	0.790549	0.0221394	380916.	0.618448	0.170318	0.93734	658.376	743.383
78.	0.787599	0.0219414	387319.	0.619456	0.173575	0.936888	651.201	735.182
79.	0.784676	0.0217438	393665.	0.620477	0.176868	0.93649	644.066	727.027
80.	0.781781	0.0215469	399953.	0.621509	0.180194	0.936143	636.975	718.924
81.	0.778913	0.0213507	406184.	0.622553	0.183549	0.935843	629.933	710.876
82.	0.776072	0.0211555	412359.	0.623606	0.186928	0.935586	622.944	70.289
83.	0.773258	0.0209614	418476.	0.624667	0.19033	0.93537	616.012	694.969
84.	0.77047	0.0207685	424538.	0.625736	0.19375	0.93519	609.139	687.117
85.	0.767708	0.0205769	430543.	0.626812	0.197185	0.935045	60.233	679.337
86.	0.764972	0.0203867	436494.	0.627894	0.200634	0.934932	595.586	671.632
87.	0.762262	0.0201979	442389.	0.628981	0.204093	0.934848	588.908	664.004
88.	0.759577	0.0200107	448229.	0.630072	0.20756	0.934791	58.23	656.455
89.	0.756918	0.0198251	454016.	0.631167	0.211034	0.934759	575.763	648.987
90.	0.754283	0.0196412	459749.	0.632266	0.214511	0.934749	569.297	641.601
91.	0.751672	0.019459	465428.	0.633367	0.217992	0.934762	562.904	634.298
92.	0.749086	0.0192785	471055.	0.63447	0.221472	0.934793	556.584	62.708
93.	0.746523	0.0190998	476630.	0.635575	0.224952	0.934843	550.339	619.947
94.	0.743984	0.0189229	482153.	0.636681	0.22843	0.93491	544.168	612.899
95.	0.741468	0.0187479	487625.	0.637788	0.231905	0.934991	538.072	605.937
96.	0.738976	0.0185747	493046.	0.638896	0.235375	0.935087	532.051	599.061
97.	0.736506	0.0184034	498417.	0.640003	0.238839	0.935195	526.105	592.271
98.	0.734058	0.018234	503739.	0.641111	0.242296	0.935316	520.234	585.567
99.	0.731633	0.0180664	509012.	0.642218	0.245746	0.935447	514.438	578.949
100.	0.729229	0.0179008	514236.	0.643323	0.249187	0.935588	508.716	572.416
101.	0.726848	0.017737	519413.	0.644428	0.252619	0.935738	503.069	565.967
102.	0.724487	0.0175751	524542.	0.645532	0.25604	0.935896	497.495	559.604
103.	0.722148	0.0174151	529625.	0.646634	0.259452	0.936062	491.994	553.323
104.	0.71983	0.017257	534661.	0.647734	0.262852	0.936235	486.566	547.127
105.	0.717532	0.0171007	539652.	0.648832	0.26624	0.936413	48.121	541.012
106.	0.715254	0.0169463	544597.	0.649928	0.269616	0.936598	475.925	534.979
107.	0.712997	0.0167937	549498.	0.651022	0.272979	0.936787	470.711	529.027
108.	0.710759	0.016643	554355.	0.652114	0.27633	0.936981	465.566	523.156
109.	0.708541	0.016494	559168.	0.653203	0.279666	0.937179	460.491	517.363
110.	0.706343	0.0163469	563939.	0.654289	0.28299	0.937381	455.484	511.649
111.	0.704163	0.0162016	568666.	0.655372	0.286299	0.937586	450.544	506.012
112.	0.702002	0.016058	573352.	0.656453	0.289593	0.937794	445.672	500.451
113.	0.69986	0.0159162	577997.	0.65753	0.292873	0.938004	440.865	494.966
114.	0.697737	0.0157761	582600.	0.658605	0.296139	0.938217	436.123	489.556
115.	0.695631	0.0156377	587163.	0.659676	0.29939	0.938431	431.445	484.219
116.	0.693544	0.015501	591686.	0.660744	0.302625	0.938647	426.831	478.954
117.	0.691474	0.0153659	596170.	0.661809	0.305845	0.938864	422.279	473.761
118.	0.689422	0.0152326	600615.	0.66287	0.30905	0.939083	417.789	468.639
119.	0.687387	0.0151008	605021.	0.663928	0.31224	0.939302	413.359	463.586
120.	0.685369	0.0149707	609389.	0.664983	0.315414	0.939522	408.989	458.602
121.	0.683368	0.0148421	613719.	0.666034	0.318572	0.939743	404.678	453.686
122.	0.681384	0.0147151	618013.	0.667081	0.321715	0.939964	400.425	448.836
123.	0.679416	0.0145897	622269.	0.668125	0.324843	0.940185	39.623	444.051
124.	0.677465	0.0144658	626490.	0.669165	0.327954	0.940406	39.209	439.331
125.	0.67553	0.0143434	630674.	0.670202	0.33105	0.940627	388.006	434.675
126.	0.67361	0.0142225	634824.	0.671235	0.334131	0.940848	383.977	430.081
127.	0.671706	0.014103	638938.	0.672264	0.337195	0.941069	380.002	42.555
128.	0.669818	0.013985	643018.	0.67329	0.340244	0.941289	376.079	421.078
129.	0.667945	0.0138684	647064.	0.674312	0.343277	0.941508	372.209	416.667
130.	0.666087	0.0137532	651076.	0.67533	0.346295	0.941727	36.839	412.315
131.	0.664244	0.0136394	655055.	0.676345	0.349297	0.941946	364.622	408.021
132.	0.662416	0.013527	659001.	0.677355	0.352284	0.942163	360.904	403.784
133.	0.660603	0.0134159	662915.	0.678362	0.355255	0.94238	357.234	399.603
134.	0.658804	0.0133061	666796.	0.679366	0.358211	0.942595	353.613	395.477
135.	0.65702	0.0131976	670646.	0.680365	0.361151	0.94281	350.039	391.406
136.	0.655249	0.0130905	674465.	0.681361	0.364076	0.943024	346.512	387.388
137.	0.653492	0.0129845	678252.	0.682353	0.366986	0.943236	343.031	383.423
138.	0.65175	0.0128799	682009.	0.683341	0.369881	0.943448	339.595	37.951
139.	0.650021	0.0127764	685736.	0.684326	0.37276	0.943658	336.204	375.648
140.	0.648305	0.0126742	689433.	0.685307	0.375625	0.943867	332.856	371.836
141.	0.646603	0.0125732	693100.	0.686284	0.378474	0.944075	329.552	368.074
142.	0.644913	0.0124733	696738.	0.687257	0.381309	0.944282	32.629	364.361
143.	0.643237	0.0123746	700348.	0.688227	0.384129	0.944488	32.307	360.696
144.	0.641574	0.012277	703928.	0.689193	0.386934	0.944692	319.891	357.077
145.	0.639924	0.0121806	707481.	0.690155	0.389725	0.944895	316.753	353.506
146.	0.638286	0.0120852	711006.	0.691114	0.392501	0.945097	313.654	34.998
147.	0.63666	0.011991	714503.	0.692069	0.395263	0.945297	310.595	346.498
148.	0.635047	0.0118978	717973.	0.69302	0.398011	0.945496	307.574	343.062
149.	0.633446	0.0118057	721416.	0.693968	0.400744	0.945693	304.592	339.669
150.	0.631857	0.0117146	724833.	0.694912	0.403463	0.94589	301.646	336.319
151.	0.63028	0.0116246	728223.	0.695853	0.406168	0.946084	298.738	333.011
152.	0.628715	0.0115356	731587.	0.69679	0.408859	0.946278	295.866	329.744
153.	0.627161	0.0114475	734925.	0.697723	0.411536	0.94647	293.029	326.519
154.	0.625619	0.0113605	738238.	0.698653	0.414199	0.946661	290.228	323.334
155.	0.624088	0.0112744	741526.	0.699579	0.416849	0.94685	287.461	320.189
156.	0.622569	0.0111893	744789.	0.700502	0.419485	0.947038	284.728	317.082
157.	0.621061	0.0111051	748028.	0.701421	0.422108	0.947225	282.029	314.014
158.	0.619564	0.0110218	751242.	0.702337	0.424717	0.94741	279.363	310.984
159.	0.618077	0.0109394	754432.	0.703249	0.427313	0.947594	276.729	307.992
160.	0.616602	0.010858	757598.	0.704157	0.429896	0.947777	274.127	305.036
161.	0.615137	0.0107774	760741.	0.705063	0.432465	0.947958	271.557	302.116
162.	0.613683	0.0106977	763860.	0.705965	0.435022	0.948138	269.018	299.232
163.	0.612239	0.0106189	766956.	0.706863	0.437565	0.948316	26.651	296.383
164.	0.610805	0.0105409	770030.	0.707758	0.440096	0.948493	264.031	293.569
165.	0.609382	0.0104638	773081.	0.70865	0.442614	0.948669	261.582	290.788
