"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"beta",0.1,"Deterministic",66.9471160434807,NA,NA,NA,NA
"beta",0.1,"Stochastic",96.0487885024487,0.174194342559171,613.491132963054,47.6074484261734,144.490128578724
"beta",0.166666666666667,"Deterministic",2354.94905630082,NA,NA,NA,NA
"beta",0.166666666666667,"Stochastic",729.678004375347,0.6754326344066,3325.59103731934,543.927133769037,915.428874981657
"beta",0.233333333333333,"Deterministic",5954.67680787969,NA,NA,NA,NA
"beta",0.233333333333333,"Stochastic",4628.55856187979,2.80699120290024,7444.29514186699,4248.93539569066,5008.18172806893
"beta",0.3,"Deterministic",8771.18860951732,NA,NA,NA,NA
"beta",0.3,"Stochastic",8380.46377395296,5482.96321792042,11241.581487133,8101.01264701768,8659.91490088824
"beta",0.366666666666667,"Deterministic",11080.2557444402,NA,NA,NA,NA
"beta",0.366666666666667,"Stochastic",10609.5003373269,7541.61155886901,13678.7310469814,10199.8491753107,11019.1514993431
"beta",0.433333333333333,"Deterministic",13040.1093927444,NA,NA,NA,NA
"beta",0.433333333333333,"Stochastic",12822.6367495696,9938.84263708808,16556.340906669,12474.5537813548,13170.7197177844
"beta",0.5,"Deterministic",14745.0914946295,NA,NA,NA,NA
"beta",0.5,"Stochastic",14536.0908810197,11844.8806403708,17969.032828464,14201.9123213565,14870.2694406829
"beta",0.566666666666667,"Deterministic",16255.6675520698,NA,NA,NA,NA
"beta",0.566666666666667,"Stochastic",15879.8138360915,12076.5646923045,20022.5009034786,15384.7079694999,16374.9197026831
"beta",0.633333333333333,"Deterministic",17612.8998331122,NA,NA,NA,NA
"beta",0.633333333333333,"Stochastic",17643.6576164055,14339.0081890464,21810.0429692854,17286.9672446953,18000.3479881157
"beta",0.7,"Deterministic",18845.9644114373,NA,NA,NA,NA
"beta",0.7,"Stochastic",18442.3501567437,15082.4919542825,21897.1832113278,18055.5718608434,18829.1284526439
