"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"gamma",0.0714285714285714,"Deterministic",32003.3644639837,NA,NA,NA,NA
"gamma",0.0714285714285714,"Stochastic",32239.3464528753,28330.4831210017,35926.4808498853,31848.8749941173,32629.8179116334
"gamma",0.100529100529101,"Deterministic",27147.5095945934,NA,NA,NA,NA
"gamma",0.100529100529101,"Stochastic",26792.6334872684,23049.0145649946,30974.4348113655,26388.5764489333,27196.6905256035
"gamma",0.12962962962963,"Deterministic",23627.8625430237,NA,NA,NA,NA
"gamma",0.12962962962963,"Stochastic",23502.8036598313,19537.1499604237,27096.0248420766,23113.3378105103,23892.2695091524
"gamma",0.158730158730159,"Deterministic",20898.4864497958,NA,NA,NA,NA
"gamma",0.158730158730159,"Stochastic",20458.4857526224,16818.1332466768,25050.8759065561,20054.8768511834,20862.0946540615
"gamma",0.187830687830688,"Deterministic",18689.5547913772,NA,NA,NA,NA
"gamma",0.187830687830688,"Stochastic",17871.5261207139,14237.9841572901,22093.1096979515,17477.8708009331,18265.1814404946
"gamma",0.216931216931217,"Deterministic",16848.1937165275,NA,NA,NA,NA
"gamma",0.216931216931217,"Stochastic",15595.03349457,11546.3515051628,19760.9369647428,15073.6130246482,16116.4539644918
"gamma",0.246031746031746,"Deterministic",15279.5597824512,NA,NA,NA,NA
"gamma",0.246031746031746,"Stochastic",13155.2108001523,8012.74133651533,17525.4117872728,12652.545213983,13657.8763863217
"gamma",0.275132275132275,"Deterministic",13920.8536619965,NA,NA,NA,NA
"gamma",0.275132275132275,"Stochastic",10953.4441484532,5136.52410657928,14657.4903567924,10423.3993932862,11483.4889036202
"gamma",0.304232804232804,"Deterministic",12728.4002610534,NA,NA,NA,NA
"gamma",0.304232804232804,"Stochastic",8565.21204341533,28.4798531237556,13344.7241414797,7965.19495745962,9165.22912937105
"gamma",0.333333333333333,"Deterministic",11670.6344828781,NA,NA,NA,NA
"gamma",0.333333333333333,"Stochastic",6425.90375756791,28.4468881083933,11340.4033359918,5783.60415631329,7068.20335882254
