"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"ni0",1e-04,"Deterministic",11529.3711568125,NA,NA,NA,NA
"ni0",1e-04,"Stochastic",3571.47014575938,0.2431605851699,10491.2932073492,2812.21260180836,4330.72768971039
"ni0",0.00564444444444444,"Deterministic",12174.8221759959,NA,NA,NA,NA
"ni0",0.00564444444444444,"Stochastic",6777.60373666919,1884.91466194327,11882.1251579804,6225.28590327271,7329.92157006567
"ni0",0.0111888888888889,"Deterministic",12532.6367286742,NA,NA,NA,NA
"ni0",0.0111888888888889,"Stochastic",7060.62174468081,1820.01626250908,12815.6937291785,6479.48375304519,7641.75973631643
"ni0",0.0167333333333333,"Deterministic",12839.8527244872,NA,NA,NA,NA
"ni0",0.0167333333333333,"Stochastic",7452.57420481108,2366.92705871573,12911.3498889605,6905.70744198078,7999.44096764139
"ni0",0.0222777777777778,"Deterministic",13130.2477730042,NA,NA,NA,NA
"ni0",0.0222777777777778,"Stochastic",7740.00073804275,2834.86836234486,12728.7985486809,7227.64682281965,8252.35465326585
"ni0",0.0278222222222222,"Deterministic",13401.7920402844,NA,NA,NA,NA
"ni0",0.0278222222222222,"Stochastic",7957.98972338493,2551.94252777893,13699.3837534721,7361.19541601005,8554.7840307598
"ni0",0.0333666666666667,"Deterministic",13668.6850298589,NA,NA,NA,NA
"ni0",0.0333666666666667,"Stochastic",8380.35994088124,3737.61508344327,13928.8059205658,7802.87451876452,8957.84536299796
"ni0",0.0389111111111111,"Deterministic",13923.8758808791,NA,NA,NA,NA
"ni0",0.0389111111111111,"Stochastic",8528.32044918107,3838.01978307909,13286.0826838625,8003.7806537642,9052.86024459794
"ni0",0.0444555555555556,"Deterministic",14178.2857164625,NA,NA,NA,NA
"ni0",0.0444555555555556,"Stochastic",8637.1941100616,3373.43727013523,15069.6699368919,8067.41435616161,9206.9738639616
"ni0",0.05,"Deterministic",14423.9326165693,NA,NA,NA,NA
"ni0",0.05,"Stochastic",9009.50601509872,4275.1875926211,13438.6503322169,8502.01692511725,9516.99510508018
