"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"pi",0.001,"Deterministic",6067.72732905443,NA,NA,NA,NA
"pi",0.001,"Stochastic",6119.87397772542,4125.76264567355,9037.84064018519,5861.43155506519,6378.31640038566
"pi",0.002,"Deterministic",10164.4931643171,NA,NA,NA,NA
"pi",0.002,"Stochastic",10015.3013160034,7168.81851436012,13305.4464376448,9706.49186023688,10324.1107717699
"pi",0.003,"Deterministic",13133.5169720721,NA,NA,NA,NA
"pi",0.003,"Stochastic",13007.1241775498,10256.3027561137,15871.4323041111,12692.9743191875,13321.274035912
"pi",0.004,"Deterministic",15389.7721925645,NA,NA,NA,NA
"pi",0.004,"Stochastic",15212.2127994806,12122.9403571085,18665.4727511958,14855.7485108697,15568.6770880916
"pi",0.005,"Deterministic",17162.9594865417,NA,NA,NA,NA
"pi",0.005,"Stochastic",17299.7341508415,14055.4347035794,21749.9182701834,16890.6762710716,17708.7920306114
"pi",0.006,"Deterministic",18592.6797313026,NA,NA,NA,NA
"pi",0.006,"Stochastic",18451.761828223,15022.7133594411,21953.6126335081,18085.2728708018,18818.2507856442
"pi",0.007,"Deterministic",19769.3541327143,NA,NA,NA,NA
"pi",0.007,"Stochastic",19602.5974942229,15374.5110035241,24062.4167497913,19175.4094702875,20029.7855181584
"pi",0.008,"Deterministic",20754.2951662972,NA,NA,NA,NA
"pi",0.008,"Stochastic",20505.6331983751,17195.3537523354,24224.172117853,20130.1262847177,20881.1401120325
"pi",0.009,"Deterministic",21590.5694908091,NA,NA,NA,NA
"pi",0.009,"Stochastic",21160.3277114997,17352.9781651719,25275.045779466,20768.5365731576,21552.1188498418
"pi",0.01,"Deterministic",22309.3052071937,NA,NA,NA,NA
"pi",0.01,"Stochastic",22019.0043906345,18369.1641679025,26539.2447631733,21607.0486062261,22430.960175043
