"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"pop_size",10000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",10000,"Stochastic",9009.50601509872,4275.1875926211,13438.6503322169,8502.01692511725,9516.99510508018
"pop_size",20000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",20000,"Stochastic",12934.5144477723,9276.31438735283,16859.95442747,12529.5121527158,13339.5167428288
"pop_size",30000,"Deterministic",14423.9326165692,NA,NA,NA,NA
"pop_size",30000,"Stochastic",14019.0177952823,11564.2640743693,16366.9481178464,13772.9809605104,14265.0546300541
"pop_size",40000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",40000,"Stochastic",14071.9403066417,11954.6993588082,16419.289730037,13842.8951185948,14300.9854946886
"pop_size",50000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",50000,"Stochastic",14090.9942172702,11602.9561899162,16006.5524744603,13880.1663107787,14301.8221237618
"pop_size",60000,"Deterministic",14423.9326165692,NA,NA,NA,NA
"pop_size",60000,"Stochastic",14206.7794881299,12523.4733360893,15976.5471499186,14037.1351575069,14376.4238187528
"pop_size",70000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",70000,"Stochastic",14230.3173775352,12530.5620014255,15908.4502522568,14058.5959253605,14402.0388297098
"pop_size",80000,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",80000,"Stochastic",14325.0351605338,13025.5434185353,15671.7157609224,14187.909426841,14462.1608942265
"pop_size",90000,"Deterministic",14423.9326165692,NA,NA,NA,NA
"pop_size",90000,"Stochastic",14238.0933676639,12922.7698479169,15715.2666622396,14090.4309525182,14385.7557828095
"pop_size",1e+05,"Deterministic",14423.9326165693,NA,NA,NA,NA
"pop_size",1e+05,"Stochastic",14251.1774399248,12968.8399810036,15726.0950154137,14117.4983144834,14384.8565653661
