"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"rho",0,"Deterministic",34061.89378661,NA,NA,NA,NA
"rho",0,"Stochastic",33730.4193266004,30722.309049801,36591.9097419219,33460.8367293897,34000.001923811
"rho",0.030441400304414,"Deterministic",4452.12355056195,NA,NA,NA,NA
"rho",0.030441400304414,"Stochastic",4502.6574604991,3770.5571785339,5177.07233755055,4422.78225221216,4582.53266878604
"rho",0.060882800608828,"Deterministic",3599.09675947338,NA,NA,NA,NA
"rho",0.060882800608828,"Stochastic",3647.68250309402,2991.10379076302,4344.20792284976,3575.43298568861,3719.93202049942
"rho",0.091324200913242,"Deterministic",3124.90904704521,NA,NA,NA,NA
"rho",0.091324200913242,"Stochastic",3168.31866715155,2570.2573722515,3840.13565360466,3101.58610530529,3235.05122899781
"rho",0.121765601217656,"Deterministic",2782.09652976622,NA,NA,NA,NA
"rho",0.121765601217656,"Stochastic",2821.06099830249,2252.06824061656,3449.65951385289,2758.81604094954,2883.30595565544
"rho",0.15220700152207,"Deterministic",2511.18837593914,NA,NA,NA,NA
"rho",0.15220700152207,"Stochastic",2546.63887004777,2026.57127569346,3157.54916311254,2488.21288256786,2605.06485752768
"rho",0.182648401826484,"Deterministic",2287.61532745437,NA,NA,NA,NA
"rho",0.182648401826484,"Stochastic",2320.24170664805,1836.67231661895,2914.79059847181,2265.149202595,2375.33421070109
"rho",0.213089802130898,"Deterministic",2098.24661665689,NA,NA,NA,NA
"rho",0.213089802130898,"Stochastic",2128.52845707158,1675.40185418632,2703.18285929823,2076.39701953547,2180.65989460768
"rho",0.243531202435312,"Deterministic",1934.97963632143,NA,NA,NA,NA
"rho",0.243531202435312,"Stochastic",1963.25506232128,1536.19573944252,2516.01182278171,1913.7884027391,2012.72172190347
"rho",0.273972602739726,"Deterministic",1792.35408220612,NA,NA,NA,NA
"rho",0.273972602739726,"Stochastic",1818.8695737556,1414.41434172767,2350.10502650918,1771.82520362674,1865.91394388446
