"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"time_horizon",200,"Deterministic",8475.63827643242,NA,NA,NA,NA
"time_horizon",200,"Stochastic",8550.87751676836,7224.71778459318,9827.52225978432,8408.5637595935,8693.19127394322
"time_horizon",400,"Deterministic",11054.5926865878,NA,NA,NA,NA
"time_horizon",400,"Stochastic",10968.3641599657,9738.61475169948,12135.8948440355,10836.005143079,11100.7231768524
"time_horizon",600,"Deterministic",12542.7498634467,NA,NA,NA,NA
"time_horizon",600,"Stochastic",12565.2441351685,11377.4505984129,13701.7075582852,12419.2278261981,12711.2604441389
"time_horizon",800,"Deterministic",13404.4192558561,NA,NA,NA,NA
"time_horizon",800,"Stochastic",13265.5038137968,11948.6608711319,14461.3945004351,13126.0334680755,13404.974159518
"time_horizon",1000,"Deterministic",13905.0026122759,NA,NA,NA,NA
"time_horizon",1000,"Stochastic",13913.2690847765,12813.8705503947,15316.3951232547,13791.2091119317,14035.3290576214
"time_horizon",1200,"Deterministic",14196.7505171414,NA,NA,NA,NA
"time_horizon",1200,"Stochastic",14155.49442519,12932.061304443,15377.0778886091,14015.8670203526,14295.1218300273
"time_horizon",1400,"Deterministic",14367.3123633335,NA,NA,NA,NA
"time_horizon",1400,"Stochastic",14293.1813201186,12939.0478568969,15868.9072064487,14148.0046483657,14438.3579918715
"time_horizon",1600,"Deterministic",14467.3221318696,NA,NA,NA,NA
"time_horizon",1600,"Stochastic",14336.5776506879,13098.4326775648,15598.7244720795,14205.1949206628,14467.960380713
"time_horizon",1800,"Deterministic",14526.1292932753,NA,NA,NA,NA
"time_horizon",1800,"Stochastic",14453.0046935207,13053.3428623188,15904.3689320873,14303.5965895648,14602.4127974766
"time_horizon",2000,"Deterministic",14560.8017227903,NA,NA,NA,NA
"time_horizon",2000,"Stochastic",14514.7495432184,13197.1329572273,15592.050789977,14386.73087351,14642.7682129268
