"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"v",10000,"Deterministic",5267.26461758579,NA,NA,NA,NA
"v",10000,"Stochastic",5182.53713363094,4000.55120069764,6099.71167366919,5072.63370205694,5292.44056520494
"v",14444.4444444444,"Deterministic",6846.14073267738,NA,NA,NA,NA
"v",14444.4444444444,"Stochastic",6825.87384274017,5482.77696305493,8028.93158479292,6698.64386862827,6953.10381685207
"v",18888.8888888889,"Deterministic",8145.49327923071,NA,NA,NA,NA
"v",18888.8888888889,"Stochastic",8106.15729686,6566.70096238395,9962.03986244582,7926.0187056685,8286.29588805151
"v",23333.3333333333,"Deterministic",9234.96899654919,NA,NA,NA,NA
"v",23333.3333333333,"Stochastic",9014.78723818729,7391.64594860672,11576.9312186396,8795.37886090133,9234.19561547326
"v",27777.7777777778,"Deterministic",10162.3870360285,NA,NA,NA,NA
"v",27777.7777777778,"Stochastic",9926.52098473538,7775.66249175792,11994.5769112345,9705.62311266399,10147.4188568068
"v",32222.2222222222,"Deterministic",10961.8177949144,NA,NA,NA,NA
"v",32222.2222222222,"Stochastic",10792.7499786393,8133.73459228571,14154.5368108252,10506.7477092074,11078.7522480712
"v",36666.6666666667,"Deterministic",11658.2784653036,NA,NA,NA,NA
"v",36666.6666666667,"Stochastic",11472.4555590287,8964.72052441366,14347.0122983543,11192.7103069722,11752.2008110852
"v",41111.1111111111,"Deterministic",12270.6027538098,NA,NA,NA,NA
"v",41111.1111111111,"Stochastic",12085.9646434428,9225.80487364269,15715.8099811314,11758.521925112,12413.4073617737
"v",45555.5555555556,"Deterministic",12813.2670090786,NA,NA,NA,NA
"v",45555.5555555556,"Stochastic",12621.5870861257,9958.90213069394,15196.211157236,12327.4355239535,12915.738648298
"v",50000,"Deterministic",13297.5950136628,NA,NA,NA,NA
"v",50000,"Stochastic",12842.4450052352,9804.36246038876,16394.4270382922,12412.7741610259,13272.1158494445
